year,state,abbr,class,race_type,round,caption,results,total_votes,winner,runner_up,color,source_url
2004,Idaho,ID,III,regular,General,"United States Senate election in Idaho, 2004","{""Mike Crapo"": {""party"": ""Republican"", ""votes"": 499796, ""pct"": 99.18}, ""Majority"": {""party"": ""Majority"", ""votes"": 495660, ""pct"": 98.36}, ""Scott McClure"": {""party"": ""Democratic"", ""votes"": 4136, ""pct"": 0.82}}",999592,Mike Crapo,Majority,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Idaho
2004,Illinois,IL,III,regular,General,2004 United States Senate election in Illinois,"{""Barack Obama"": {""party"": ""Democratic"", ""votes"": 3597456, ""pct"": 69.97}, ""Alan Keyes"": {""party"": ""Republican"", ""votes"": 1390690, ""pct"": 27.05}, ""Al Franzen"": {""party"": ""Independent"", ""votes"": 81164, ""pct"": 1.6}, ""Jerry Kohn"": {""party"": ""Libertarian"", ""votes"": 69253, ""pct"": 1.3}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 2957, ""pct"": 0.1}}",5141520,Barack Obama,Alan Keyes,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Illinois
2004,Indiana,IN,III,regular,General,General election results,"{""Evan Bayh"": {""party"": ""Democratic"", ""votes"": 1496976, ""pct"": 61.65}, ""Marvin Scott"": {""party"": ""Republican"", ""votes"": 903913, ""pct"": 37.23}, ""Albert Barger"": {""party"": ""Libertarian"", ""votes"": 27344, ""pct"": 1.13}}",2428233,Evan Bayh,Marvin Scott,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Indiana
2004,Iowa,IA,III,regular,General,"United States Senate election in Iowa, 2004","{""Chuck Grassley"": {""party"": ""Republican"", ""votes"": 1038175, ""pct"": 70.18}, ""Majority"": {""party"": ""Majority"", ""votes"": 625810, ""pct"": 42.31}, ""Arthur A. Small"": {""party"": ""Democratic"", ""votes"": 412365, ""pct"": 27.88}, ""Christy Ann Welty"": {""party"": ""Libertarian"", ""votes"": 15218, ""pct"": 1.03}, ""Daryl A. Northrop"": {""party"": ""Green"", ""votes"": 11121, ""pct"": 0.75}, ""Edwin Fruit"": {""party"": ""Socialist Workers"", ""votes"": 1874, ""pct"": 0.13}, ""475"": {""party"": ""Write-ins"", ""votes"": 475, ""pct"": 0.03}}",2105038,Chuck Grassley,Majority,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Iowa
2004,Kansas,KS,III,regular,General,General election results,"{""Sam Brownback"": {""party"": ""Republican"", ""votes"": 780863, ""pct"": 69.16}, ""Majority"": {""party"": ""Majority"", ""votes"": 470526, ""pct"": 41.68}, ""Lee Jones"": {""party"": ""Democratic"", ""votes"": 310337, ""pct"": 27.49}, ""Steven A. Rosile"": {""party"": ""Libertarian"", ""votes"": 21842, ""pct"": 1.93}, ""George Cook"": {""party"": ""Reform"", ""votes"": 15980, ""pct"": 1.42}}",1599548,Sam Brownback,Majority,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Kansas
2004,Kentucky,KY,III,regular,General,2004 Kentucky U.S. Senator general election,"{""Jim Bunning"": {""party"": ""Republican"", ""votes"": 873507, ""pct"": 50.66}, ""Daniel Mongiardo"": {""party"": ""Democratic"", ""votes"": 850855, ""pct"": 49.34}}",1724362,Jim Bunning,Daniel Mongiardo,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Kentucky
2004,Louisiana,LA,III,regular,General,"Louisiana United States Senate election, 2004","{""David Vitter"": {""party"": ""Republican"", ""votes"": 943014, ""pct"": 51.03}, ""Chris John"": {""party"": ""Democratic"", ""votes"": 542150, ""pct"": 29.34}, ""Majority"": {""party"": ""Majority"", ""votes"": 400864, ""pct"": 21.69}, ""John Neely Kennedy"": {""party"": ""Democratic"", ""votes"": 275821, ""pct"": 14.92}, ""Arthur A. Morrell"": {""party"": ""Democratic"", ""votes"": 47222, ""pct"": 2.56}, ""Richard M. Fontanesi"": {""party"": ""Independent"", ""votes"": 15097, ""pct"": 0.82}, ""R. A. \""Skip\"" Galan"": {""party"": ""Independent"", ""votes"": 12463, ""pct"": 0.67}, ""Sam Houston Melton, Jr."": {""party"": ""Democratic"", ""votes"": 12289, ""pct"": 0.66}}",2248920,David Vitter,Chris John,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Louisiana
2004,Maryland,MD,III,regular,General,"United States Senate election in Maryland, 2004","{""Barbara A. Mikulski"": {""party"": ""Democratic"", ""votes"": 1504691, ""pct"": 64.8}, ""E. J. Pipkin"": {""party"": ""Republican"", ""votes"": 783055, ""pct"": 33.72}, ""Majority"": {""party"": ""Majority"", ""votes"": 721636, ""pct"": 31.08}, ""Maria Allwine"": {""party"": ""Green"", ""votes"": 24816, ""pct"": 1.07}, ""Thomas Trump"": {""party"": ""Constitution"", ""votes"": 9009, ""pct"": 0.39}, ""360"": {""party"": ""Write-ins"", ""votes"": 360, ""pct"": 0.02}}",3043567,Barbara A. Mikulski,E. J. Pipkin,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Maryland
2004,Missouri,MO,III,regular,General,General election results,"{""Kit Bond"": {""party"": ""Republican"", ""votes"": 1518089, ""pct"": 56.09}, ""Nancy Farmer"": {""party"": ""Democratic"", ""votes"": 1158261, ""pct"": 42.8}, ""Majority"": {""party"": ""Majority"", ""votes"": 359828, ""pct"": 13.3}, ""Kevin Tull"": {""party"": ""Libertarian"", ""votes"": 19648, ""pct"": 0.73}, ""Don Griffin"": {""party"": ""Constitution"", ""votes"": 10404, ""pct"": 0.38}}",3066230,Kit Bond,Nancy Farmer,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Missouri
2004,Nevada,NV,III,regular,General,General election results,"{""Harry Reid"": {""party"": ""Democratic"", ""votes"": 494805, ""pct"": 61.08}, ""Richard Ziser"": {""party"": ""Republican"", ""votes"": 284640, ""pct"": 35.14}, ""Majority"": {""party"": ""Majority"", ""votes"": 210165, ""pct"": 25.94}, ""None of These Candidates"": {""party"": ""None of These Candidates"", ""votes"": 12968, ""pct"": 1.6}, ""Thomas L. Hurst"": {""party"": ""Libertarian"", ""votes"": 9559, ""pct"": 1.18}, ""David K. Schumann"": {""party"": ""Independent American Party (Nevada)"", ""votes"": 6001, ""pct"": 0.74}, ""Gary Marinch"": {""party"": ""Natural Law"", ""votes"": 2095, ""pct"": 0.26}}",1020233,Harry Reid,Richard Ziser,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Nevada
2004,New Hampshire,NH,III,regular,General,2004 United States Senate election in New Hampshire,"{""Judd Gregg"": {""party"": ""Republican"", ""votes"": 434847, ""pct"": 66.24}, ""Doris Haddock"": {""party"": ""Democratic"", ""votes"": 221549, ""pct"": 33.75}, ""Majority"": {""party"": ""Majority"", ""votes"": 213298, ""pct"": 32.49}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 102, ""pct"": 0.02}}",869796,Judd Gregg,Doris Haddock,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_New_Hampshire
2004,New York,NY,III,regular,General,"2004 United States Senate election, New York","{""Chuck Schumer"": {""party"": ""Democratic"", ""votes"": 4769824, ""pct"": 71.16}, ""Majority"": {""party"": ""Majority"", ""votes"": 3144755, ""pct"": 46.92}, ""Howard Mills"": {""party"": ""Republican"", ""votes"": 1625069, ""pct"": 24.24}, ""Marilyn O'Grady"": {""party"": ""Conservative"", ""votes"": 220960, ""pct"": 3.3}, ""David McReynolds"": {""party"": ""Green"", ""votes"": 36942, ""pct"": 0.55}, ""Don Silberger"": {""party"": ""Libertarian"", ""votes"": 19073, ""pct"": 0.28}, ""Abe Hirschfeld"": {""party"": ""Builders Party"", ""votes"": 16196, ""pct"": 0.24}, ""Martin Koppel"": {""party"": ""Socialist Workers"", ""votes"": 14811, ""pct"": 0.22}}",9847630,Chuck Schumer,Majority,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_New_York
2004,North Carolina,NC,III,regular,General,2004 United States Senate election in North Carolina,"{""Richard Burr"": {""party"": ""Republican"", ""votes"": 1791450, ""pct"": 51.6}, ""Erskine Bowles"": {""party"": ""Democratic"", ""votes"": 1632527, ""pct"": 47.02}, ""Tom Bailey"": {""party"": ""Libertarian"", ""votes"": 47743, ""pct"": 1.38}, ""Walker F. Rucker"": {""party"": ""Nonpartisan"", ""votes"": 362, ""pct"": 0.01}}",3472082,Richard Burr,Erskine Bowles,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_North_Carolina
2004,North Dakota,ND,III,regular,General,"2004 United States Senate election, North Dakota","{""Byron Dorgan"": {""party"": ""Democratic–NPL"", ""votes"": 149936, ""pct"": 68.28}, ""Mike Liffrig"": {""party"": ""Republican"", ""votes"": 98553, ""pct"": 31.72}}",248489,Byron Dorgan,Mike Liffrig,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_North_Dakota
2004,Ohio,OH,III,regular,General,"2004 United States Senate election, Ohio","{""George Voinovich"": {""party"": ""Republican"", ""votes"": 3464651, ""pct"": 63.85}, ""Eric Fingerhut"": {""party"": ""Democratic"", ""votes"": 1961249, ""pct"": 36.14}, ""Helen Meyers"": {""party"": ""Independent"", ""votes"": 296, ""pct"": 0.01}}",5426196,George Voinovich,Eric Fingerhut,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Ohio
2004,Oklahoma,OK,III,regular,General,2004 United States Senate election in Oklahoma,"{""Tom Coburn"": {""party"": ""Republican"", ""votes"": 763433, ""pct"": 52.77}, ""Brad Carson"": {""party"": ""Democratic"", ""votes"": 596750, ""pct"": 41.24}, ""Majority"": {""party"": ""Majority"", ""votes"": 166683, ""pct"": 11.52}, ""Sheila Bilyeu"": {""party"": ""Independent"", ""votes"": 86663, ""pct"": 5.99}}",1613529,Tom Coburn,Brad Carson,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Oklahoma
2004,Oregon,OR,III,regular,General,General election results,"{""Ron Wyden"": {""party"": ""Democratic"", ""votes"": 1128728, ""pct"": 63.39}, ""Al King"": {""party"": ""Republican"", ""votes"": 565254, ""pct"": 31.75}, ""Majority"": {""party"": ""Majority"", ""votes"": 563474, ""pct"": 31.64}, ""Teresa Keane"": {""party"": ""Pacific Green"", ""votes"": 43053, ""pct"": 2.41}, ""Dan Fitzgerald"": {""party"": ""Libertarian"", ""votes"": 29582, ""pct"": 1.66}, ""David Brownlow"": {""party"": ""Constitution"", ""votes"": 12397, ""pct"": 0.7}, ""Misc."": {""party"": ""Write-In"", ""votes"": 1536, ""pct"": 0.08}}",2344024,Ron Wyden,Al King,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Oregon
2004,Pennsylvania,PA,III,regular,General,General election results,"{""Arlen Specter"": {""party"": ""Republican"", ""votes"": 2925080, ""pct"": 52.62}, ""Joe Hoeffel"": {""party"": ""Democratic"", ""votes"": 2334126, ""pct"": 41.99}, ""Jim Clymer"": {""party"": ""Constitution"", ""votes"": 220056, ""pct"": 3.96}, ""Betsy Summers"": {""party"": ""Libertarian"", ""votes"": 79263, ""pct"": 1.43}}",5558525,Arlen Specter,Joe Hoeffel,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Pennsylvania
2004,South Carolina,SC,III,regular,General,"South Carolina U.S. Senate Election, 2004","{""Jim DeMint •"": {""party"": ""Republican"", ""votes"": 857167, ""pct"": 53.67}, ""Inez Tenenbaum"": {""party"": ""Democratic"", ""votes"": 704384, ""pct"": 44.1}, ""Majority"": {""party"": ""Majority"", ""votes"": 152783, ""pct"": 9.57}, ""Patrick Tyndall"": {""party"": ""Constitution"", ""votes"": 13464, ""pct"": 0.84}, ""Rebekah E. Sutherland"": {""party"": ""Libertarian"", ""votes"": 10678, ""pct"": 0.67}, ""Tee Ferguson"": {""party"": ""United Citizens"", ""votes"": 5859, ""pct"": 0.37}, ""Efia Nwangaza *"": {""party"": ""Green"", ""votes"": 4245, ""pct"": 0.27}, ""Write-Ins"": {""party"": ""No party"", ""votes"": 1286, ""pct"": 0.08}}",1749866,Jim DeMint •,Inez Tenenbaum,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_South_Carolina
2004,South Dakota,SD,III,regular,General,General election results,"{""John Thune"": {""party"": ""Republican"", ""votes"": 197848, ""pct"": 50.58}, ""Tom Daschle"": {""party"": ""Democratic"", ""votes"": 193340, ""pct"": 49.42}}",391188,John Thune,Tom Daschle,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_South_Dakota
2004,Utah,UT,III,regular,General,General election results,"{""Bob Bennett"": {""party"": ""Republican"", ""votes"": 626640, ""pct"": 68.73}, ""Majority"": {""party"": ""Majority"", ""votes"": 367685, ""pct"": 40.33}, ""Paul Van Dam"": {""party"": ""Democratic"", ""votes"": 258955, ""pct"": 28.4}, ""Gary R. Van Horn"": {""party"": ""Constitution"", ""votes"": 17289, ""pct"": 1.9}, ""Joe LaBonte"": {""party"": ""Personal Choice"", ""votes"": 8824, ""pct"": 0.97}, ""18"": {""party"": ""Write-ins"", ""votes"": 18, ""pct"": 0.0}}",1279411,Bob Bennett,Majority,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Utah
2004,Vermont,VT,III,regular,General,General election results,"{""Patrick Leahy"": {""party"": ""Democratic"", ""votes"": 216972, ""pct"": 70.63}, ""Majority"": {""party"": ""Majority"", ""votes"": 141574, ""pct"": 46.08}, ""Jack McMullen"": {""party"": ""Republican"", ""votes"": 75398, ""pct"": 24.54}, ""Cris Ericson"": {""party"": ""Independent"", ""votes"": 6486, ""pct"": 2.11}, ""Craig Hill"": {""party"": ""Green"", ""votes"": 3999, ""pct"": 1.3}, ""Keith Stern"": {""party"": ""Independent"", ""votes"": 3300, ""pct"": 1.07}, ""Ben Mitchell"": {""party"": ""Liberty Union"", ""votes"": 879, ""pct"": 0.29}, ""Write-ins"": {""party"": ""Write-in"", ""votes"": 174, ""pct"": 0.06}}",448782,Patrick Leahy,Majority,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Vermont
2004,Washington,WA,III,regular,General,General election results,"{""Patty Murray"": {""party"": ""Democratic"", ""votes"": 1549708, ""pct"": 54.98}, ""George Nethercutt"": {""party"": ""Republican"", ""votes"": 1204584, ""pct"": 42.74}, ""J. Mills"": {""party"": ""Libertarian"", ""votes"": 34055, ""pct"": 1.21}, ""Mark Wilson"": {""party"": ""Green"", ""votes"": 30304, ""pct"": 1.08}}",2818651,Patty Murray,George Nethercutt,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Washington
2004,Wisconsin,WI,III,regular,General,General election results,"{""Russ Feingold"": {""party"": ""Democratic"", ""votes"": 1632697, ""pct"": 55.35}, ""Tim Michels"": {""party"": ""Republican"", ""votes"": 1301183, ""pct"": 44.11}, ""Arif Khan"": {""party"": ""Libertarian"", ""votes"": 8367, ""pct"": 0.28}, ""Eugene A. Hem"": {""party"": ""Independent"", ""votes"": 6662, ""pct"": 0.23}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 834, ""pct"": 0.03}}",2949743,Russ Feingold,Tim Michels,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Wisconsin
2006,Arizona,AZ,I,regular,General,2006 United States Senate election in Arizona,"{""Jon Kyl"": {""party"": ""Republican"", ""votes"": 814398, ""pct"": 53.34}, ""Jim Pederson"": {""party"": ""Democratic"", ""votes"": 664141, ""pct"": 43.5}, ""Majority"": {""party"": ""Majority"", ""votes"": 150257, ""pct"": 9.84}, ""Richard Mack"": {""party"": ""Libertarian"", ""votes"": 48231, ""pct"": 3.16}, ""13"": {""party"": ""Write-ins"", ""votes"": 13, ""pct"": 0.0}}",1677040,Jon Kyl,Jim Pederson,red,https://en.wikipedia.org/wiki/2006_United_States_Senate_election_in_Arizona
